ID,Name,Longitude,Latitude,Source,Seascape or Site,Basin,Region,Location,"EEZ, High Seas or both",Leading institution,partners,Key leader/agency,Time frame,Area,Level of Protection (Current),Level of Protection (Desired),Importance,Opportunity,Reference1,Reference2
77,Adventure Bank & Linosa Slope,12.34943286,37.19132097,Xavier Pastor (Oceana),Site,Mediterranean,,Adventure Bank & Linosa Slope,EEZ - multi-country,Oceana,,Italian government/BARCOM,2014,"1,750 Km2",,SPAMI,,,,
78,Alboran Island,-3.030236211,35.95867467,Xavier Pastor (Oceana),Site,Mediterranean,,Alboran Island,EEZ - multi-country,Oceana,INDEMARES/IUCN,Spanish government/EU Commission/OSPAR,2013,"1,500 Km2",,Nature 2000 network/SPAMI,,,,
79,Alboran Sea,-2.744160385,35.78391895,David Hyrenbach (Hawaii Pacific University),Site,Mediterranean,,Alboran Sea,Med High Seas,Whale and Dolphin Conservation Society,"WDCS, BirdLife","SPAMI Commission?, Spanish, Morrocan, Algerian Governments",,From Strait of Gibraltar to Gulf of Vera,None,SPAMI region (currently proposed),"Most diverse whale and dolphin population in Med,  important region for green sea turtles but high shipping traffic and human population, SPAMI region",,http://www.wdcs.org/protect/critical_habitat/story_details.php?select=120,
80,Apulia canyon,18.79473967,39.30689988,Xavier Pastor (Oceana),Site,Mediterranean,,Apulia canyon,EEZ - multi-country,Oceana,,Italian government/BARCOM,2013,500 Km2,,SPAMI,,,,
81,Balearic Islands,2.377619877,39.1515903,Oceana website,Site,Mediterranean,,Balearic Islands,EEZ,Pew,Oceana,Spanish Government ?,,,,,Bluefin tuna spawning areas,,,
82,Baleraric seamount,2.200627923,38.89952565,Xavier Pastor (Oceana),Site,Mediterranean,,Baleraric seamount,EEZ - multi-country,Oceana,Spanish government/IEO,Spanish government/EU Commission/GFCM,2011,"2,800 Km2",,FRA ,,,,
83,Cabliers Bank,-2.243969582,35.82921093,Xavier Pastor (Oceana),Site,Mediterranean,,Cabliers Bank,EEZ - multi-country,Oceana,IUCN,BARCOM,2016,800 Km2,,SPAMI,,,,
84,Cabrera National Park enlargement,2.986179916,39.17334241,Xavier Pastor (Oceana),Site,Mediterranean,,Cabrera National Park enlargement,EEZ,Oceana,National Park/Regional Government,Spanish government,2013,150 Km2,,National Park,,,,
85,Capo san Vito,12.83291974,38.21528476,Xavier Pastor (Oceana),Site,Mediterranean,,Capo san Vito,EEZ,Oceana,,Italian government/BARCOM,2013,350 Km2,,Nature 2000 network + SPAMI,,,,
86,Chella bank,-2.84011836,36.52709073,Xavier Pastor (Oceana),Site,Mediterranean,,Chella bank,EEZ - multi-country,Oceana,INDEMARES/University of Malaga,Spanish government/EU Commission ,2013,500 Km2,,Nature 2000 network,,,,
87,Enareta and Aceste seamounts,13.99454019,38.67663193,Xavier Pastor (Oceana),Site,Mediterranean,,Enareta and Aceste seamounts,EEZ,Oceana,,Italian government/BARCOM,2014,"1,000 Km2",,Nature 2000 network + SPAMI,,,,
88,Enlargement of Columbretes Island MPA,0.691904957,39.87632711,Xavier Pastor (Oceana),Site,Mediterranean,,Enlargement of Columbretes Island MPA,EEZ - multi-country,Oceana,INDEMARES,Spanish government/EU Commission/BARCON,2013,150 Km2,,SPAMI,,,,
89,Mediterranean (MedNet),19.14790442,35.21536853,NGS List,Seascape,Mediterranean,,Mediterranean (MedNet),EEZ - multi-country,"NGS, Oceana","Oceana, Mediterranean Science Commission, UNEP, IUCN, WWF","HSH Prince Albert II, UNEP","Expedition June 2010, MPA map Oct 2010, pitch Feb 2011","207,100 km2 with 100 MPAs totalling 8.2% of Med",4% of Med in MPAs,100 MPAs ,Unique habitat critical for sustaining human populations as well as ecosystems,,,
90,Palos seamount,0.12423556,37.54822249,Xavier Pastor (Oceana),Site,Mediterranean,,Palos seamount,EEZ - multi-country,Oceana,"Instituo d’Ecologia Litoral and Universities of Alicante, Murica and Valencia",Spanish government/EU Commission/BARCON,2016,"1,000 Km2",,SPAMI,,,,
91,Tofiño & Xauen Bank,-4.117887708,35.41439885,Xavier Pastor (Oceana),Site,Mediterranean,,Tofiño & Xauen Bank,EEZ,Oceana,IUCN,Moroccan government/BARCOM,2015,"1,300 Km2",,SPAMI,,,,
92,Areas north of Hawaiian Islands,-160.4353353,25.57849331,Ben Lascelles (BirdLife International),Site,Pacific,Central,Areas north of Hawaiian Islands,Both,BirdLife,BirdLife,"US Government, WCPFC",,,,,,,,
93,Central Pacific Seascape (EEZs + high seas),-158.4195953,0.025124394,"NGS List, CI website",Seascape,Pacific,Central,Central Pacific Seascape (EEZs + high seas),"Both, EEZs multi-country",CI,"NGS, CI","Kiribati President, Council of Pacific States",?,?,,,,,,
94,Central Pacific shearwater migration corridor,,,Ben Lascelles (BirdLife International),Site,Pacific,Central,Central Pacific shearwater migration corridor,High Seas,BirdLife,BirdLife,"IATTC, WCPMC",,,,,,,,
95,Main Hawaiian Islands Seascape,-157.1456933,20.43591319,CI website,Seascape,Pacific,Central,Main Hawaiian Islands Seascape,EEZ,CI,"Conservation International, Hawaii Conservation Alliance?, TNC?","State of Hawaii, NOAA, NMFS",,,,,"Unique and diverse area threatened by alien species, overfishing, destructive fishing, pollution",,,
96,Marquesas Archipelago,-139.4644633,-9.42569565,Pierre Leenhardt (Project GRAMP),Site,Pacific,Central,Marquesas Archipelago,EEZ,,,French Government,,"1,000,000 km2",,,"Extensive coral reef systems, seabird and turtle populations",Already declared as a pending site by French government,,
97,Moana Marine Reserve (MOANA),172.8222111,-14.46469722,Greenpeace website,Site,Pacific,Central,Moana Marine Reserve (MOANA),HS,GP,Greenpeace,WCPFC,,"Between EEZs of Cook Islands, French Polynesia, Kiribati",,,Important fishing grounds for tuna,Support within the WCPFC,,
98,Northwest of Kure Atoll,179.3443202,29.92662437,Ben Lascelles (BirdLife International),Site,Pacific,Central,Northwest of Kure Atoll,EEZ?,BirdLife,BirdLife,"IATTC, WCPMC",,,,,,,,
99,Pacific Commons,169.1983897,-6.176047719,Greenpeace website,Site,Pacific,Central,Pacific Commons,High Seas,GP,Greenpeace,WCPFMC,,,,Closed to purse-seine tuna fishing through Nauru Agreement in 2/4 HS doughnut holes (West and Greater Oceania),Area between island fishing nations important to fish stocks,Movement in the WCPFMC to close this area but failed due to political opposition,,
100,Pacific equatorial upwelling ,-145.2705283,5.68434E-14,GOBI report,Seascape,Pacific,Central,Pacific equatorial upwelling ,High Seas,,GOBI demonstration,"IATTC, CEPTFA, others?",,,,,"High productivity, important seabird and tuna region",,http://www.gobi.org/Our%20Work/productive-1,
101,Pacific Remote Islands,-162.2056127,6.130623183,MCBI,Site,Pacific,Central,Pacific Remote Islands,EEZ,MCBI,EDF,,Declared Monumnet 2009,50 nmi suares around islands,No take marine reserve,,Near pristine coral reefs and surround pelagic ecosytems,"seeking additional IMO protection overlays, World Heritage Site Designation",,
102,Southeastern Pacific/South Pacific Gyre Leatherback Foraging areas,-125.1500681,-45.81563921,"EBSA, Greenpeace website",Site,Pacific,Central,Southeastern Pacific/South Pacific Gyre Leatherback Foraging areas,High Seas,GP,"Greenpeace, IUCN?, CI?","IATTC, CCPS",,"Includes Clipperton Fraction Zone, Leatherback foraging areas",,Closed to longlining,"Tuna, turtle migrations; likely to be impacted by manganese mining; interannual and seasonal stability for leatherback foraging",,http://www.gobi.org/candidate-ebsas/south-pacific-gyre,
103,"Southern Line Islands, Kiribati",-157.5215914,2.048560993,NGS List,Site,Pacific,Central,"Southern Line Islands, Kiribati",EEZ,NGS,Conservation International,"President Tong, Minister of Environment","Expedition April-May 2009, pitch 2010",,,,One of the healthiest reef systems on earth; can be used as a baseline for reef health,"Part of the Republic of Kiribati, pro-marine conservation",,
104,SST fronts in the ETP,-88.26714326,2.364781928,GOBI report,Site,Pacific,Central,SST fronts in the ETP,Both,,"GOBI demonstration, MCBI","Guatemala, El Salvador, Honduras, Nicaragua governments",,,,,High productivity and aggregates prey for top predators,,http://www.gobi.org/Our%20Work/productive-2,
105,"Vatu-i-Ra Seascape, Fiji",179.0667331,-17.07940741,Caleb McClennen (WCS),Site,Pacific,Central,"Vatu-i-Ra Seascape, Fiji",,WCS,"WCS, FLMMA, Wetlands International","Fiji Government, Local Angoligoli",Ongoing - 5 years,7500 km2,Ten community-based MPAs currently exist,Network of protected areas,"Healthy coral reef ecosystem, seabird breeding colonies, sea turtle habitat but threatened by overfishing and destructive fishing practices, as well as onshore logging",Strong community-based support and network,http://www.wcs.org/saving-wild-places/ocean/vatu-i-ra-seascape-fiji.aspx,
106,Bismarck and Solomon Sea & Papuan Birdshead (includes New Ireland Seascape),151.5294563,-6.755596972,"CI, WWF websites",Site,Pacific,Coral Triangle Region,Bismarck and Solomon Sea & Papuan Birdshead (includes New Ireland Seascape),EEZ - multi-country,CI,"Conservation International, WWF, TNC","Australian, Indonesian and PNG governments",,"180,000 km2",9000 km2 in MPAs currently,,High biodiversity region within Coral Triangle;  also largest Pacific leatherback nesting site; 75% of worlds scleratinian coral,On the ground support and capacity building by CI and WWF; Lower population level but depend heavily on ocean for subsistence,http://www.conservation.org/Documents/CI_Seascape_factsheet_Birds_Head_2008.pdf,http://assets.panda.org/downloads/bsse_flyer_0204.pdf
107,Micronesian Challenge,139.8056062,9.496584727,Lynne Hale (CI),Seascape,Pacific,Coral Triangle Region,Micronesian Challenge,EEZ,"TNC, NOAA",,"Governments of FSM, Marshalls, CNMI, Guam, Palau",2020,,,30% of nearshore resources,"High endemism of birds, extensive coral reef ecosystems, important for local subsistence and tourism",Commitment by governments to protect resources,http://www.micronesiachallenge.org/,
108,Papua New Guinea - New Ireland Seascape,152.5521144,-5.2405755,Caleb McClennen (WCS),Site,Pacific,Coral Triangle Region,Papua New Guinea - New Ireland Seascape,EEZ,WCS,"WCS, TNC, Local partners",PNG local government & communities,Ongoing - 10 years,"25,000 km2",,,"Coral reef diversity, importance to local cultural heritage and subsistence",,,
109,Sulu-Sulawesi Seascape,120.1578523,2.733858811,CI website,Site,Pacific,Coral Triangle Region,Sulu-Sulawesi Seascape,EEZ - multi-country,"CI, WCS","Conservation International, Wildlife Conservation Society","Malaysian, Indonesian and Philippine Governments",A lot of efforts already underway & on the ground support ,"900,000 km2",Currently 990 km2 in MPAs,,Fragile but important ecosystem for biodiversity and human populations; World's highest concentrations of marine biodiversity; coral reef community; corridor for marine life and productivity,Large population center but CI has already developed the Tri-National Committee to support MPAs,http://www.conservation.org/Documents/CI_Seascape_factsheet_Sulu_Sulawesi_2008.pdf,
110,"The Coral Triangle Oceanscape, including",128.6397921,-2.031562561,Lynne Hale (CI),Seascape,Pacific,Coral Triangle Region,"The Coral Triangle Oceanscape, including",EEZ - multi-country,"CI, WCS, WWF, TNC","Conservation International, Wildlife Conservation Society, WWF, TNC, SEA Alliance","Philippines, Malaysia, Indonesia, PNG, Solomon Islands, Timor Leste Governments",,,A number of protected areas already established,,"One of most diverse ecosystems on earth but high population density that relies on reefs for food security; 500 coral spp, 3000 fish plus top predators",Complex government structure but already organized around Coral Triangle Initiative and strong NGO partnership community; important for food security in the region,http://www.worldwildlife.org/what/wherewework/coraltriangle/marineprotectedareas.html,Working to create a Peace Park between Philippines and Malaysia
111,"Weh Island - Aceh, Indonesia - Northwest Sumatra",95.36504588,5.8656954,Caleb McClennen (WCS),Site,Pacific,Coral Triangle Region,"Weh Island - Aceh, Indonesia - Northwest Sumatra",EEZ,WCS,"WCS, local universities and government",Pangilima Laout Aceh government,Ongoing - 5 years,250 linear km,,Network of protected areas,"Diverse marine community including turtles and whale sharks, but region threatened by destructive fishing practices and destruction caused by the 2004 tsunami",,http://www.wcs.org/saving-wild-places/ocean/weh-island-aceh-indonesia.aspx,
112,Aleutian Islands,24.65459438,-36.3404365,Oceana website,Site,Pacific,NE,Aleutian Islands,EEZ,Oceana,"Oceana, MCBI","US Government, State of Alaska, NOAA-NMFS, North Pacific Fishery Management Council",,,1 million km2 closed to bottom trawling,Closed to bottom fishing?,"Deep-sea coral reefs, abundant marine mammals, commercially important fish, biogeographic transition zone and migration corridor",,,
113,Bristol Bay,-163.0371238,57.16596413,WWF website,Site,Pacific,NE,Bristol Bay,EEZ,WWF,"WWF, Wild Salmon Center, TNC, NRDC, MCBI","Secretary of Interior, MMS, US Gov",,,,Closed to oil and gas development,"Fragile ecosystem important to fisheries, cultural identity, and natural resources in Alaska",Exploratory drilling put on hold by Obama until at least 2011,,
114,California Current,,,Oceana website,Seascape,Pacific,NE,California Current,EEZ,"Oceana, Resources Law Group","Oceana, Resources Law Group, TNC, NRDC, TOC, MCBI","NOAA-NMFS, CA Department of Fish and Game Commission",,,,,Highly productive upwelling region with important nearshore and offshore habitat for fish and top predator populations,,,
115,Clipperton Island ,-109.2052823,10.30475941,NGS List,Site,Pacific,NE,Clipperton Island ,EEZ,,"MCBI, NGS, SAUP",French government,,,,,,,,
116,"Cocos Island, Costa Rica",-87.03050552,5.529093678,NGS List,Site,Pacific,NE,"Cocos Island, Costa Rica",EEZ,NGS,"CI, The Nature Conservancy, Pretoma, Marviva, FAICO","President Arias, President-elect Chinchilla, Minister Env.","Expedition September 2009, pitch March 2010",15 km of water surrounding the island,Island is part of Costa Rica National Park system and extends 15 km around the island & UNESCO World Heritage Site,,"Deep, productive waters with healthy reef and predator populations","As one of the worlds 10 best diving spots, should be high public support",,
117,Donut Hole South of Japan,134.8092456,23.7182591,Ben Lascelles (BirdLife International),Site,Pacific,NE,Donut Hole South of Japan,High Seas,BirdLife,BirdLife,WCPFC,,,,,,,,
118,Eastern Tropical Pacific Seascape,-88.26714326,2.364781928,CI website,Seascape,Pacific,NE,Eastern Tropical Pacific Seascape,EEZ - multi-country,CI,"Conservation International, SEA","Columbia, Costa Rica, Ecuador, Panama Governments",,2 million km2,11 MPAs already in existence,,"Unique biologically diverse area with good political structure to work from; Complex biogeography, leatherback and other species migration corridor, 5 UNESCO World Heritage sites",San José Agreement provides framework for international cooperation; well coordinated group of NGOs and interest groups,http://www.conservation.org/Documents/CI_Eastern_Tropical_Pacific_Seascape.pdf,
119,Emperor Seamounts,170.4706281,41.90884297,MCBI,Site,Pacific,NE,Emperor Seamounts,HS,,"MCBI, IUCN, DSCC ?, NRDC?",NP RFMO,,,,,Heavily fished seamounts,,,
120,Gulf of Alaska/Transition Zone-Chlorophyll Front,-147.9434572,50.9974502,"EBSA, Greenpeace website",Site,Pacific,NE,Gulf of Alaska/Transition Zone-Chlorophyll Front,High Seas,GP,Greenpeace,"NPAFC, PSC, others?",,Includes female elephant seal foraging areas,,,"Heavy fishing threats, important oceanographic feature important foraging for Laysan and black-footed albatrosses (threatened spp) elephant seals (non-threatened spp), Patton seamount chain",,,
121,Gulf of California,-111.9631873,27.86404706,WWF website,Site,Pacific,NE,Gulf of California,EEZ,WWF,"WWF, TNC, SEA Alliance, Environmental Defense, Packard, Conservation International",Mexican government,,,"Upper Gulf of California and Colorado River Delta Biosphere Reserve, Espiritu Santa Archipelago and San Lorenzo Archipelago National Park (85 km2 no-take)",,"Important for tourism, fisheries and subsistence in Mexico; highly diverse and unique ecosystem threatened by overexploitation and fishery impacts such as bycatch; home to the vaquita",,,
122,High Seas Costa Rica Dome area,-89.01737978,8.01382027,"Whale and Dolphin Conservation Society, GOBI Report",Site,Pacific,NE,High Seas Costa Rica Dome area,High Seas,Whale and Dolphin Conservation Society,"WDCS, MCBI","IATTC, CEPTFA, others?",,,,,Highly productive area with high cetacean diversity; is especially an important blue whale habitat,,,
123,Laguna San Ignacio/Baja California,-113.1801783,26.84632599,NRDC website,Site,Pacific,NE,Laguna San Ignacio/Baja California,EEZ,NRDC,?,Mexican government,?,,,,,,http://www.savebiogems.org/baja/,
124,North Coast of California (Point Arena to Oregon Border),-124.7137226,40.22413418,Michael Weber (Resources Law Group),Site,Pacific,NE,North Coast of California (Point Arena to Oregon Border),EEZ,"Oceana, Resources Law Group","Oceana, Resources Law Group","NOAA-NMFS, CA Department of Fish and Game Commission",2011-2012 (North Coast of CA),347 km2 for CA waters,"133 km2 no take in CA waters, 213 in conservation area; krill fishing banned in West Coast waters; gillnet closures for leatherbacks; bottom trawling banned in 360,000 km2",,Highly productive upwelling region with important nearshore and offshore habitat for fish and top predator populations,,,
125,Northeastern Pacific,-152.7538288,39.67427192,"GOBI report, Greenpeace website",Seascape,Pacific,NE,Northeastern Pacific,High Seas,GP,"Greenpeace, MCBI","IATTC, CCPS",,,,,"Important migratory path for threatened and endangered species (leatherbacks, white sharks) and productive area for commercially important species",,,
126,Phillipine Sea,134.4767619,19.53968713,Ben Lascelles (BirdLife International),Site,Pacific,NE,Phillipine Sea,Both,BirdLife,BirdLife,"Philippine Government, WCPFC",,,,,,,,
127,White Shark Café,-135.1597935,23.78766101,GOBI report,Site,Pacific,NE,White Shark Café,High Seas,,GOBI EBSA site,"IATTC, CCPS",,,,,Potential breeding ground of Pacific white sharks,,,
128,Kuroshio-Oyashio Confluence,147.0008522,39.13688031,Greenpeace website,Site,Pacific,NW,Kuroshio-Oyashio Confluence,HS,GP,Greenpeace,"WCPFC, NPAFC, others?",,Includes Japan and Kuril Tranches,,,"Area of convergence between warm north-flowing Kuroshio Current and cold, south-flowing Oyashio Current that is highly productive",,,
129,"Minami Torishima, Japan",141.463641,24.24120642,NGS List,Site,Pacific,NW,"Minami Torishima, Japan",EEZ,Pew,?,Japanese govt.,?,,,,,,,
130,South Pacific Albatross and Petrel Corridor,,,Ben Lascelles (BirdLife International),Seascape,Pacific,S,South Pacific Albatross and Petrel Corridor,HS,BirdLife,BirdLife,"CCBST, WCPFC",,,,,,,,
131,Between Galapagos and Ecuador,-85.44532736,-1.608718467,Ben Lascelles (BirdLife International),Site,Pacific,SE,Between Galapagos and Ecuador,High Seas,BirdLife,BirdLife,"CEPTFA, CPPS, IATTC, others?",,,,,,,,
132,Chilean Fjords and Islands,-76.43061841,-44.72857695,Silvia Earle Alliance website,Seascape,Pacific,SE,Chilean Fjords and Islands,EEZ,SEA ,"SEA, WWF",Chilean government,,,,,"Important habitat for corals, marine mammals, penguins and a myriad of marine life due to productive nature of the region; threatened by industrialization and fishing",,http://www.sylviaearlealliance.org/node/15159,
133,"Desventuradas Islands, Chile",-79.88916698,-26.34361103,NGS List,Site,Pacific,SE,"Desventuradas Islands, Chile",EEZ,NGS,"Oceana, Independientes en Red, IUCN",President Piñera,TBD,,,,Important seabird breeding colonies,Low human population with only Chilean military presence,,
134,Juan Fernandez Islands,-80.0000001,-32.99999993,Oceana website,Site,Pacific,SE,Juan Fernandez Islands,EEZ,Oceana,"Oceana, SEA Alliance",Chilean government,,,,Closed to bottom fishing,Chain of seamounts and three islands with diversity that rivals the Galápagos,"In 2009, five prominent Chilean senators sponsored a bill mandating the government close vulnerable ecosystems to bottom trawling",,
135,Nazca Ridges,-80.48974179,-20.19741049,WWF website,Site,Pacific,SE,Nazca Ridges,Both,WWF,WWF,"Chilean Government, UNGA",,between the parallels 15°00’ S and 26°09’ S and between the meridians 86°30’ W and 76°06’ W,,,"Submitted as CBD EBSA; High endemism, highly isolated hydrothermal vents, swordfish nursery, coral habitat but threatened by fishing",,http://www.cbd.int/doc/meetings/mar/ewbcsima-01/other/ewbcsima-01-wwf-04-en.pdf,
136,"Pitcairn Islands, UK",-128.2980266,-24.36831586,NGS List,Site,Pacific,SE,"Pitcairn Islands, UK",EEZ,Pew,NGS,British govt.,With Plan B in Fall 2011?,,Henderson Island is a UNESCO World Heritage site,,Reef ecosystems and many areas largely untouched by humans,,,
137,Punta de Choros,-71.55567827,-29.2041128,Oceana website,Site,Pacific,SE,Punta de Choros,EEZ,Oceana,Oceana,Chilean government,,,Reserves already in place,Protect from pollution of power plants; set emission standards for carbon dioxide and mercury from power plants,"Nutrient-rich upwelling, biodiversity hotspot with 80% of worlds Humboldt penguins",Chilean president mandated one plant be relocated in 2010,,
138,"Sala y Gómez, Chile",-105.3588876,-26.46899181,NGS List,Site,Pacific,SE,"Sala y Gómez, Chile",EEZ,NGS,"Oceana, Independientes en Red, IUCN",President Piñera,"Mini-expedition March 2010, reserve created on October 7, 2010","Motu Motiro Hiva, 150,000 km2",no-take reserve,,Diverse seamount chain with extensive seabird populations,Marine reserve designated,,
139,Southern Chile,-76.07803124,-53.40635189,WWF website,Site,Pacific,SE,Southern Chile,EEZ,WWF,"The Nature Conservancy, Conservatión Marina, SEA ",Chilean government,,,None,,"Productive region, blue whale habitat; Threatened by salmon farming, maritime traffic, fishing",,,
140,Deep Coral throughout the South Pacific region,,,Silvia Earle Alliance website,Seascape,Pacific,South Pacific,Deep Coral throughout the region,HS,,MCBI,SPRFMO,2013,,,,Identify important deep water coral habitats,,,
141,"Coral Sea, Australia",155.8560654,-19.39195496,"NGS List, CI website",Seascape,Pacific,SW,"Coral Sea, Australia",EEZ - multi-country,Pew,"WWF, Australian NGOs and research institutions, SEA ",Australian Government,?,Entire Coral Sea,"Great Barrier Reef Marine Park already in place, incorporating 345,000 km2",Expand GBR to include entire Coral Sea as no-take reserve,"Incredible reef systems and high diversity of marine top predators including turtles, birds and mammals but ecosystem is threatened by overexploitation and oil-gas development",,,
142,Great Australian Bight,130.6099696,-33.39230337,Ben Lascelles (BirdLife International),Site,Pacific,SW,Great Australian Bight,EEZ,BirdLife,BirdLife,Australian Government,,,,,,,,
143,Kermadec Trench,-176.5329379,-29.8576225,NGS List,Site,Pacific,SW,Kermadec Trench,EEZ,SEA Alliance,"SEA Alliance, Seafriends NZ",New Zealand Minister for the Environment,Plan B in May 2011; deep portion TBD,Along the Kermadec Islands to the N Island of New Zealand,"Marine reserve 12 nm from islands (7450 km2); NZ has Kermadec benthic protected area that is 620,500 km2 in area",,Ridge results in high upwelling and productivity supporting top predators; at the transition between biogeographic region so diverse and unique species,,,
144,"Lord Howe Rise and Norfolk ridge, Tasman Sea areas of importance to the Antipodiean Albatross",162.0503912,-32.23032241,Greenpeace website,Site,Pacific,SW,"Lord Howe Rise and Norfolk ridge, Tasman Sea areas of importance to the Antipodiean Albatross",Both,"GP, BirdLife","Greenpeace, BirdLife International","UNGA, New Zealand and Aust gov, WCPFC, CCBST",,,,,"High endemism on deep seamount, vulnerable to trawling (especially by NZ trawlers), key feeding ground of albatross",,,
145,New Zealand Donut Hole,172.4049247,-28.10999907,Ben Lascelles (BirdLife International),Site,Pacific,SW,New Zealand Donut Hole,High Seas,BirdLife,BirdLife,WCPFC,,,,,,,,
146,Northeast of New Zealand,-174.098183,-36.24207459,Ben Lascelles (BirdLife International),Site,Pacific,SW,Northeast of New Zealand,Both,BirdLife,BirdLife,"New Zealand Government, CCBST, WCPFC",,,,,,,,
147,Western Pacific and Greater Oceania,160.6629198,3.877618313,Greenpeace website,Seascape,Pacific,W,Western Pacific and Greater Oceania,High Seas,GP,"Greenpeace, CI",WCPFMC,,Includes the Pacific Commons,,Closed to fishing,Important grounds for threatened fish stocks,WCPFMC has worked to close this area but hit political opposition by individual countries,,
